4.051989386314203134e-01,4.239384333412332118e-01,4.409830891129276620e-01
2.847098825497490493e-01,2.985578901150510167e-01,3.242049422972315131e-01
3.437753937328805742e-01,3.607716671205679626e-01,3.817847218890253469e-01
3.520356792365242904e-01,3.410069756575798694e-01,3.930183194219276643e-01
1.970809742284996002e-01,2.059081278835884765e-01,2.410745161649855972e-01
5.620554409202176832e-02,5.868334970017857061e-02,1.096662065021987986e-01
6.692904289230373893e-02,6.670890453770675355e-02,1.193688446217709836e-01
2.281312295658791678e-01,2.344181510688865822e-01,2.680411644119347625e-01
5.075379570800386125e-02,5.611333800859083509e-02,9.490250329776395155e-02
1.011270866569055071e-01,1.073602855140047274e-01,1.483559327773662784e-01
8.598630706382309752e-02,9.282731277938538472e-02,1.357502731113349737e-01
1.757617841335533393e-01,1.829451126035867015e-01,2.159187876917635363e-01
3.392589290182027040e-02,4.216125846195235144e-02,7.425844553008570381e-02
-2.093839705042654584e-02,-1.749152378175194977e-02,2.478182951459537153e-02
3.026717961936162271e-02,4.041451984950669013e-02,7.099364412457465079e-02
4.324468391031283665e-01,4.390644603724919715e-01,4.698200798970014191e-01
2.410751349737265681e-01,2.497477034999771583e-01,2.871558869707351302e-01
8.681337752485430992e-02,8.160665499245965682e-02,1.409163291797611017e-01
4.045717189689380100e-01,4.025448487827343880e-01,4.483482513588573082e-01
1.062556963407320504e-01,1.006510989930318872e-01,1.656681131492305503e-01
6.476467963723828158e-02,6.342170166536990894e-02,1.217051975005982861e-01
1.484334459858678221e-02,1.999913881339808117e-02,6.136578961044773101e-02
2.680793423271923825e-01,2.843536349170789346e-01,3.103590460347662172e-01
1.024599662793524574e-01,1.130918277490049056e-01,1.520323118051662981e-01
4.182173645479980717e-02,5.125156296979688220e-02,9.407235021492975358e-02
4.753513311034034822e-02,5.353034628122003979e-02,9.112528219235463411e-02
2.227380169047633585e-01,2.316416838932159605e-01,2.642308984597914190e-01
7.804551130809050941e-04,1.074966262679830260e-02,4.657657958418337518e-02
-3.056272907406169109e-02,-2.108631331209467191e-02,1.616915556140897936e-02
2.087164021376330947e-01,2.125434923484408045e-01,2.570732837349152256e-01
1.505602379662165577e-02,1.050903689806500542e-02,7.407510016317631063e-02
1.412946406341903938e-01,1.334941604672977289e-01,1.965440925126711869e-01
3.562486856349992292e-01,3.279470988678064303e-01,4.061735729300027797e-01
1.152110261460957130e-01,1.068679873858422724e-01,1.787791582597388906e-01
1.737744128222591319e-02,1.952667249631108784e-02,6.710323798640881188e-02
8.159417102503999097e-02,8.232565906626597430e-02,1.304313757123012063e-01
